workflow_name,workflow_id,file_path,state,active_last_7_days,not_utilized_last_7_days_including_disabled,runs_7d,last_run_at_utc,success_7d,failure_7d,cancelled_7d,timed_out_7d,action_required_7d,queued_or_in_progress_7d,workflow_dependencies,granted_access_permissions,rate_limit_included,variable_mappings,tokenized_variable_refs,copilot_variable_refs,variable_ref_count,has_variable_mapping,branch_update_conflict_risk,branch_update_conflict_reasons,branch_update_conflict_mitigation_vars,trigger_types,workflow_dispatch_enabled,workflow_call_enabled,schedule_enabled,workflow_run_enabled,timeout_configured,concurrency_configured,runner_labels,artifact_upload_steps,recommended_portfolio_action,copilot_smoke_posture,portfolio_note
Batch CI Failure Triage,225317954,.github/workflows/batch-ci-triage.yml,active,True,False,18,2026-05-15T18:30:38Z,18,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: read | issues: write | actions: read,True,"{""vars"": [""CODEX_CACHE_VERSION""], ""secrets"": [], ""env_context"": [""ACTIVE_WORKFLOWS_SCANNED"", ""FAILURES_PATH"", ""HAS_FAILURES"", ""REPORT_BODY""], ""shell_env"": [""GITHUB_STEP_SUMMARY""], ""repo_var_matches"": [], ""copilot_focus_vars"": [""CODEX_CACHE_VERSION""]}","TVAR_CODEX_CACHE_VERSION,TENV_ACTIVE_WORKFLOWS_SCANNED,TENV_FAILURES_PATH,TENV_HAS_FAILURES,TENV_REPORT_BODY",CODEX_CACHE_VERSION,6,True,low,no direct write patterns detected or low branch-drift interaction risk,,"workflow_dispatch,schedule,issues",True,False,True,False,True,True,ubuntu-latest,1,keep-enabled-active,observed-green,Observed runs in the last 7 days.
Performance Benchmarks,218151122,.github/workflows/benchmarks.yml,active,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",n/a (not in top-level workflow dir snapshot),False,n/a (workflow file unavailable in local snapshot),,,0,False,unknown,workflow file unavailable locally for conflict analysis,,,False,False,False,False,False,False,,0,archive-review-candidate,unobserved-7d,Low recent activity and low conflict risk; review lifetime usage before disable.
🌿 Branch Cleanup,247108508,.github/workflows/branch-cleanup.yml,active,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: write | pull-requests: write | issues: write,True,"{""vars"": [], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY"", ""GITHUB_TOKEN""], ""env_context"": [], ""shell_env"": [""INPUT_PREFIXES"", ""INPUT_STALE_DAYS""], ""repo_var_matches"": [], ""copilot_focus_vars"": []}","TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TSEC_GITHUB_TOKEN",,5,True,low,no direct write patterns detected or low branch-drift interaction risk,,"workflow_dispatch,schedule,issues",True,False,True,False,True,True,ubuntu-latest,1,keep-enabled-scheduled,unobserved-7d,Scheduled path; 0 recent runs can still be cadence- or window-dependent.
🔀 Branch Divergence Monitor — 0D_base_ ↔ main,249262274,.github/workflows/branch-divergence-monitor.yml,active,True,False,3,2026-05-15T12:43:13Z,3,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: write | issues: write | pull-requests: write,True,"{""vars"": [], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY"", ""GITHUB_TOKEN""], ""env_context"": [""AGENT_COMMIT_COUNT"", ""AHEAD_COUNT"", ""AUTOGEN_COUNT"", ""AUTO_CORRECT_RESULT"", ""BEHIND_COUNT"", ""CODELEAK_COUNT"", ""DRY_RUN"", ""MERGE_BASE"", ""PIPELINE_MERGE_COUNT"", ""SEVERITY""], ""shell_env"": [""ABSORBER_COUNT"", ""AGENT_BOT_AUTHORS"", ""AGENT_COMMIT_COUNT"", ""AGENT_COMMIT_SHAS"", ""AHEAD_COUNT"", ""AUTHOR"", ""AUTOGEN_COUNT"", ""AUTOGEN_SHAS"", ""BEHIND_COUNT"", ""BOT"", ""CHANGED"", ""CHANGED_NAMES"", ""CHANGES_OUTPUT"", ""CODELEAK_COUNT"", ""CODELEAK_SHAS"", ""GITHUB_OUTPUT"", ""GITHUB_STEP_SUMMARY"", ""IS_AGENT_COMMIT"", ""IS_AUTOGEN"", ""IS_PIPELINE_MERGE"", ""MAIN_ONLY"", ""MERGE_BASE"", ""MERGE_EXIT"", ""MERGE_OUTPUT"", ""NEEDS_CORRECTION""], ""repo_var_matches"": [], ""copilot_focus_vars"": [""AGENT_BOT_AUTHORS"", ""AGENT_COMMIT_COUNT"", ""AGENT_COMMIT_SHAS""]}","TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TSEC_GITHUB_TOKEN,TENV_AGENT_COMMIT_COUNT,TENV_AHEAD_COUNT,TENV_AUTOGEN_COUNT,TENV_AUTO_CORRECT_RESULT,TENV_BEHIND_COUNT,TENV_CODELEAK_COUNT,TENV_DRY_RUN,TENV_MERGE_BASE,TENV_PIPELINE_MERGE_COUNT,TENV_SEVERITY","AGENT_BOT_AUTHORS,AGENT_COMMIT_COUNT,AGENT_COMMIT_SHAS",38,True,low,no direct write patterns detected or low branch-drift interaction risk,,"workflow_dispatch,schedule,issues",True,False,True,False,True,True,ubuntu-latest,0,keep-enabled-active,observed-green,Observed runs in the last 7 days.
🔀 Branch Rebase Gate,246868526,.github/workflows/branch-rebase-gate.yml,active,True,False,1,2026-05-15T04:04:54Z,1,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: write     # Required for auto-merge via GitHub Merges API | pull-requests: write | issues: write,True,"{""vars"": [], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY"", ""GITHUB_TOKEN""], ""env_context"": [], ""shell_env"": [], ""repo_var_matches"": [], ""copilot_focus_vars"": []}","TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TSEC_GITHUB_TOKEN",,3,True,high,write-capable + event-driven workflow; may race with branch/main drift during active sessions,"CODEX_SWEEP_SKIP_MAIN,CODEX_MAX_HEALER_RUNS_PER_HOUR,CODEX_HEALER_SKIP_SKIPCI","pull_request,issues",False,False,False,False,True,True,ubuntu-latest,0,keep-enabled-active,observed-green,Observed runs in the last 7 days.
Build Agent Environment Cache,246018986,.github/workflows/build-agent-env-cache.yml,active,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: read,True,"{""vars"": [""CODEX_CACHE_VERSION""], ""secrets"": [""GITHUB_TOKEN""], ""env_context"": [""CACHE_VERSION"", ""PYTHON_VERSION""], ""shell_env"": [""CACHE_KEY""], ""repo_var_matches"": [], ""copilot_focus_vars"": [""CODEX_CACHE_VERSION""]}","TVAR_CODEX_CACHE_VERSION,TSEC_GITHUB_TOKEN,TENV_CACHE_VERSION,TENV_PYTHON_VERSION",CODEX_CACHE_VERSION,5,True,low,no direct write patterns detected or low branch-drift interaction risk,,"push,workflow_dispatch,schedule",True,False,True,False,True,True,ubuntu-latest,1,keep-enabled-scheduled,unobserved-7d,Scheduled path; 0 recent runs can still be cadence- or window-dependent.
Build & Push Preview Image,241907337,.github/workflows/build-preview-image.yml,active,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [""cost-gate.yml""], ""workflow_run_upstreams"": []}",permissions: | contents: read | packages: write,True,"{""vars"": [], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY"", ""GITHUB_TOKEN""], ""env_context"": [], ""shell_env"": [""GITHUB_OUTPUT"", ""GITHUB_STEP_SUMMARY"", ""SHORT_SHA""], ""repo_var_matches"": [], ""copilot_focus_vars"": []}","TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TSEC_GITHUB_TOKEN",,6,True,low,no direct write patterns detected or low branch-drift interaction risk,,"push,pull_request,workflow_dispatch,issues",True,False,False,False,True,True,ubuntu-latest | ubuntu-latest-m,0,archive-review-candidate,unobserved-7d,Low recent activity and low conflict risk; review lifetime usage before disable.
.github/workflows/cache-health-monitor.yml,232765030,.github/workflows/cache-health-monitor.yml,active,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",n/a (not in top-level workflow dir snapshot),False,n/a (workflow file unavailable in local snapshot),,,0,False,unknown,workflow file unavailable locally for conflict analysis,,,False,False,False,False,False,False,,0,disable-now-orphan-active,unobserved-7d,Active in Actions but backing workflow file is absent on main; safe disable/archive target.
Cache Pruning,238359392,.github/workflows/cache-pruning.yml,active,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | actions: write | contents: read,True,"{""vars"": [], ""secrets"": [], ""env_context"": [], ""shell_env"": [], ""repo_var_matches"": [], ""copilot_focus_vars"": []}",,,0,False,low,no direct write patterns detected or low branch-drift interaction risk,,"workflow_dispatch,schedule",True,False,True,False,True,True,ubuntu-latest,0,keep-enabled-scheduled,unobserved-7d,Scheduled path; 0 recent runs can still be cadence- or window-dependent.
.github/workflows/cache-validation.yml,232765010,.github/workflows/cache-validation.yml,active,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",n/a (not in top-level workflow dir snapshot),False,n/a (workflow file unavailable in local snapshot),,,0,False,unknown,workflow file unavailable locally for conflict analysis,,,False,False,False,False,False,False,,0,disable-now-orphan-active,unobserved-7d,Active in Actions but backing workflow file is absent on main; safe disable/archive target.
Chat-Ops — @copilot Webhook Trigger,239965368,.github/workflows/chatops_copilot_trigger.yml,active,True,False,5,2026-05-15T16:03:08Z,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: read | issues: write | pull-requests: write,True,"{""vars"": [""AUTONOMOUS_ACTIONS_ENABLED"", ""COGNITIVE_BRAIN_ALLOWED_ACTORS"", ""COGNITIVE_BRAIN_SESSION_NUMBER""], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY""], ""env_context"": [""PR_NUMBER""], ""shell_env"": [""ACTOR"", ""ALLOWED"", ""CMD"", ""CODEX_BACKUP_KEY"", ""COMMENT_BODY"", ""DISPATCH_STATUS"", ""EXISTING"", ""GITHUB_OUTPUT"", ""PROMPT"", ""SUBCMD""], ""repo_var_matches"": [""COGNITIVE_BRAIN_ALLOWED_ACTORS"", ""COGNITIVE_BRAIN_SESSION_NUMBER""], ""copilot_focus_vars"": [""CODEX_BACKUP_KEY"", ""COGNITIVE_BRAIN_ALLOWED_ACTORS"", ""COGNITIVE_BRAIN_SESSION_NUMBER""]}","TVAR_AUTONOMOUS_ACTIONS_ENABLED,TVAR_COGNITIVE_BRAIN_ALLOWED_ACTORS,TVAR_COGNITIVE_BRAIN_SESSION_NUMBER,TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TENV_PR_NUMBER","CODEX_BACKUP_KEY,COGNITIVE_BRAIN_ALLOWED_ACTORS,COGNITIVE_BRAIN_SESSION_NUMBER",15,True,medium,orchestration-sensitive chain; can conflict via workflow_run ordering when branch becomes behind,"CODEX_SWEEP_SKIP_MAIN,CODEX_MAX_HEALER_RUNS_PER_HOUR,CODEX_HEALER_SKIP_SKIPCI","issue_comment,issues",False,False,False,False,True,True,ubuntu-latest,0,keep-enabled-active,observed-green,Observed runs in the last 7 days.
CI Checkpoint Validation,249364649,.github/workflows/ci-checkpoint-validation.yml,active,True,False,2,2026-05-15T07:08:39Z,2,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: read | issues: write | pull-requests: write,True,"{""vars"": [], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY"", ""GITHUB_TOKEN""], ""env_context"": [], ""shell_env"": [""GITHUB_STEP_SUMMARY""], ""repo_var_matches"": [], ""copilot_focus_vars"": []}","TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TSEC_GITHUB_TOKEN",,4,True,low,no direct write patterns detected or low branch-drift interaction risk,,"push,pull_request,workflow_dispatch,schedule,issues",True,False,True,False,True,True,ubuntu-latest,0,keep-enabled-active,observed-green,Observed runs in the last 7 days.
🚨 CI Failure Issue Creator,248054026,.github/workflows/ci-failure-issue-creator.yml,active,True,False,4,2026-05-15T12:50:54Z,0,4,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": [""Auth Tests"", ""Branch Rebase Gate"", ""CI"", ""CI Health Monitor"", ""Code Quality & Coverage Suite"", ""CodeQL Analysis"", ""Cost Gate"", ""Data Quality Suite"", ""Deferral Language Gate"", ""Docker Build & Push"", ""OTel Coherence Snapshot"", ""Pre-Merge Validation"", ""RAG Module Tests"", ""Root Org Validation"", ""Rust-Python Hybrid Swarm CI/CD"", ""Semgrep SARIF"", ""📈 OTel Coherence Snapshot""]}",permissions: | issues: write | pull-requests: write | contents: write   # create fix branch | actions: read,True,"{""vars"": [], ""secrets"": [""CODEX_MASTER_KEY"", ""GITHUB_TOKEN""], ""env_context"": [""FAILED_JOBS_MD""], ""shell_env"": [""GITHUB_OUTPUT""], ""repo_var_matches"": [], ""copilot_focus_vars"": []}","TSEC_CODEX_MASTER_KEY,TSEC_GITHUB_TOKEN,TENV_FAILED_JOBS_MD",,4,True,medium,write-capable and event-triggered; potential merge or stale-head conflict during main updates,"CODEX_SWEEP_SKIP_MAIN,CODEX_MAX_HEALER_RUNS_PER_HOUR,CODEX_HEALER_SKIP_SKIPCI","workflow_run,issues",False,False,False,True,True,True,ubuntu-latest,0,keep-enabled-active,observed-failures,Observed runs in the last 7 days.
CI Health Monitor,219141006,.github/workflows/ci-health-monitor.yml,active,True,False,3,2026-05-15T12:48:43Z,3,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: write | issues: write | pull-requests: write,True,"{""vars"": [""CODEX_CACHE_VERSION"", ""CODEX_CI_FAILURE_THRESHOLD""], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY"", ""GITHUB_TOKEN""], ""env_context"": [], ""shell_env"": [""ALERT"", ""CODEX_CI_LAST_GREEN_SHA"", ""GITHUB_OUTPUT"", ""GITHUB_STEP_SUMMARY"", ""GITHUB_TOKEN"", ""METRICS""], ""repo_var_matches"": [""CODEX_CI_FAILURE_THRESHOLD"", ""CODEX_CI_LAST_GREEN_SHA""], ""copilot_focus_vars"": [""CODEX_CACHE_VERSION"", ""CODEX_CI_FAILURE_THRESHOLD"", ""CODEX_CI_LAST_GREEN_SHA""]}","TVAR_CODEX_CACHE_VERSION,TVAR_CODEX_CI_FAILURE_THRESHOLD,TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TSEC_GITHUB_TOKEN","CODEX_CACHE_VERSION,CODEX_CI_FAILURE_THRESHOLD,CODEX_CI_LAST_GREEN_SHA",10,True,medium,write-capable and event-triggered; potential merge or stale-head conflict during main updates,"CODEX_SWEEP_SKIP_MAIN,CODEX_MAX_HEALER_RUNS_PER_HOUR,CODEX_HEALER_SKIP_SKIPCI","push,workflow_dispatch,schedule,issues",True,False,True,False,True,True,ubuntu-latest,0,keep-enabled-active,observed-green,Observed runs in the last 7 days.
CI Rescue — Auto-Fix & @copilot RCA,251516262,.github/workflows/ci-rescue.yml,disabled_manually,True,True,55,2026-05-15T02:16:56Z,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": [""Auto-Fix Common CI Issues"", ""Iterative Self-Healing CI"", ""PR Auto-Fix Check"", ""PR Comment Review Gate"", ""Pre-Merge Validation"", ""RAG Module Tests"", ""Resilient Dependency Submission"", ""Resilient Validation Suite"", ""Security Scan"", ""Validation Pipeline"", ""Workflow Compliance Audit (actionlint)"", ""chain"", ""detected if omitted)"", ""hoc rescue of a specific run)"", ""infra-prone and handled outside rescue escalation."", ""mypy Baseline (Type-Check Anti-Regression)""]}",permissions: | contents: read,True,"{""vars"": [""COPILOT_AGENT_AUTH_ENABLED""], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY""], ""env_context"": [], ""shell_env"": [""GITHUB_ENV"", ""GITHUB_OUTPUT"", ""REFS""], ""repo_var_matches"": [""COPILOT_AGENT_AUTH_ENABLED""], ""copilot_focus_vars"": [""COPILOT_AGENT_AUTH_ENABLED""]}","TVAR_COPILOT_AGENT_AUTH_ENABLED,TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY",COPILOT_AGENT_AUTH_ENABLED,6,True,medium,orchestration-sensitive chain; can conflict via workflow_run ordering when branch becomes behind,"CODEX_SWEEP_SKIP_MAIN,CODEX_MAX_HEALER_RUNS_PER_HOUR,CODEX_HEALER_SKIP_SKIPCI","workflow_dispatch,workflow_run,issues",True,False,False,True,True,True,ubuntu-latest,0,already-disabled,disabled,Already non-active in GitHub Actions.
Cleanup Stale Self-Heal Branches,239988734,.github/workflows/cleanup-stale-branches.yml,active,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: write | pull-requests: write,True,"{""vars"": [], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY""], ""env_context"": [], ""shell_env"": [], ""repo_var_matches"": [], ""copilot_focus_vars"": []}","TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY",,2,True,low,no direct write patterns detected or low branch-drift interaction risk,,"workflow_dispatch,schedule",True,False,True,False,True,True,ubuntu-latest,0,keep-enabled-scheduled,unobserved-7d,Scheduled path; 0 recent runs can still be cadence- or window-dependent.
🧹 Cleanup Stale PR Comments,271652292,.github/workflows/cleanup-stale-pr-comments.yml,active,True,False,12,2026-05-15T16:03:08Z,0,6,1,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": [""✅ Agent Auth Delegation"", ""🔄 Auto-Post @copilot review After Agent Session""]}",permissions: | # issues: write is the key permission that allows comment deletion via REST API. | # Without this explicit declaration the GITHUB_TOKEN is read-only for issues. | issues: write | pull-requests: write | contents: read,True,"{""vars"": [], ""secrets"": [""GITHUB_TOKEN""], ""env_context"": [], ""shell_env"": [""ARGS"", ""GITHUB_OUTPUT""], ""repo_var_matches"": [], ""copilot_focus_vars"": []}",TSEC_GITHUB_TOKEN,,3,True,medium,orchestration-sensitive chain; can conflict via workflow_run ordering when branch becomes behind,"CODEX_SWEEP_SKIP_MAIN,CODEX_MAX_HEALER_RUNS_PER_HOUR,CODEX_HEALER_SKIP_SKIPCI","pull_request,workflow_dispatch,workflow_run,issue_comment,issues",True,False,False,True,False,True,ubuntu-latest,0,keep-enabled-active,observed-failures,Observed runs in the last 7 days.
Code Quality & Coverage Suite,231472802,.github/workflows/code-quality-coverage-suite.yml,active,True,False,2,2026-05-15T04:04:54Z,1,0,1,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: read | pull-requests: write,True,"{""vars"": [], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY"", ""GITHUB_TOKEN""], ""env_context"": [], ""shell_env"": [""GITHUB_STEP_SUMMARY""], ""repo_var_matches"": [], ""copilot_focus_vars"": []}","TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TSEC_GITHUB_TOKEN",,4,True,low,no direct write patterns detected or low branch-drift interaction risk,,"push,pull_request,workflow_dispatch,issues",True,False,False,False,True,True,ubuntu-latest,2,keep-enabled-active,observed-green,Observed runs in the last 7 days.
🧹 Codebase Health Sweep,259912019,.github/workflows/codebase-health-sweep.yml,active,True,False,7,2026-05-15T07:27:38Z,1,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: write | pull-requests: write | issues: write | actions: read,True,"{""vars"": [""CODEX_CACHE_VERSION""], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY"", ""GITHUB_TOKEN""], ""env_context"": [""AUTO"", ""MANUAL"", ""TOTAL""], ""shell_env"": [""CHANGED"", ""CHANGED_FILES"", ""ELAPSED"", ""FIX_ARGS"", ""GITHUB_OUTPUT"", ""GITHUB_STEP_SUMMARY"", ""PATTERNS"", ""STATUS"", ""TIMESTAMP""], ""repo_var_matches"": [], ""copilot_focus_vars"": [""CODEX_CACHE_VERSION""]}","TVAR_CODEX_CACHE_VERSION,TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TSEC_GITHUB_TOKEN,TENV_AUTO,TENV_MANUAL,TENV_TOTAL",CODEX_CACHE_VERSION,16,True,medium,write-capable and event-triggered; potential merge or stale-head conflict during main updates,"CODEX_SWEEP_SKIP_MAIN,CODEX_MAX_HEALER_RUNS_PER_HOUR,CODEX_HEALER_SKIP_SKIPCI","workflow_dispatch,schedule,workflow_run,issues",True,False,True,True,True,True,ubuntu-latest,0,keep-enabled-active,observed-green,Observed runs in the last 7 days.
🔍 CodeQL Alert Fetcher,272795457,.github/workflows/codeql-alert-fetcher.yml,disabled_manually,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: read | # security-events: read is NOT needed here — CODEX_MASTER_KEY provides it via REST. | # We explicitly do NOT request security-events on github.token to avoid confusion.,True,"{""vars"": [], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY""], ""env_context"": [], ""shell_env"": [""ARTIFACT_NAME"", ""CODEX_MASTER_KEY"", ""GITHUB_OUTPUT"", ""GITHUB_STEP_SUMMARY"", ""INCLUDE_DEPENDABOT"", ""INCLUDE_SECRETS"", ""MAX_PAGES"", ""OUT_DIR"", ""PAGE_SLEEP_MS"", ""PAGE_SLEEP_SECS"", ""POLICY_FOUND"", ""RESULT"", ""STATE"", ""TOOL"", ""TOP_N""], ""repo_var_matches"": [], ""copilot_focus_vars"": [""CODEX_MASTER_KEY""]}","TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY",CODEX_MASTER_KEY,16,True,low,no direct write patterns detected or low branch-drift interaction risk,,"workflow_dispatch,repository_dispatch",True,False,False,False,True,True,ubuntu-latest,1,already-disabled,disabled,Already non-active in GitHub Actions.
CodeQL,216857590,.github/workflows/codeql-analysis.yml,active,True,False,5,2026-05-15T16:55:44Z,3,0,0,0,2,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: read | security-events: write | actions: read,True,"{""vars"": [], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY"", ""GITHUB_TOKEN""], ""env_context"": [], ""shell_env"": [""AUTO_APPROVE_CHECKED"", ""PENDING_BY_SHA"", ""PENDING_BY_WFR"", ""PENDING_RUNS"", ""PR_BODY"", ""RUN_ID"", ""SESSION_DONE_CHECKED""], ""repo_var_matches"": [], ""copilot_focus_vars"": []}","TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TSEC_GITHUB_TOKEN",,10,True,low,no direct write patterns detected or low branch-drift interaction risk,,"push,pull_request,workflow_dispatch,schedule,issues",True,False,True,False,True,True,ubuntu-latest,0,keep-enabled-wec-critical,approval-gated-or-mixed,WEC always-required or merge-required; disabling interrupts approval or merge-readiness gates.
CodeQL Advanced,270498357,.github/workflows/codeql.yml,active,True,False,2,2026-05-15T04:04:54Z,2,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: read | security-events: write | actions: read,True,"{""vars"": [], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY"", ""GITHUB_TOKEN""], ""env_context"": [], ""shell_env"": [""AUTO_APPROVE_CHECKED"", ""PENDING_BY_SHA"", ""PENDING_BY_WFR"", ""PENDING_RUNS"", ""PR_BODY"", ""RUN_ID"", ""SESSION_DONE_CHECKED""], ""repo_var_matches"": [], ""copilot_focus_vars"": []}","TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TSEC_GITHUB_TOKEN",,10,True,low,no direct write patterns detected or low branch-drift interaction risk,,"push,pull_request,workflow_dispatch,schedule,issues",True,False,True,False,True,True,ubuntu-latest,0,keep-enabled-active,observed-green,Observed runs in the last 7 days.
CODEX Manifest Auto-Refresh,246105938,.github/workflows/codex-manifest-refresh.yml,active,True,False,4,2026-05-15T18:33:50Z,4,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: write,True,"{""vars"": [], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY"", ""GITHUB_TOKEN""], ""env_context"": [], ""shell_env"": [""GITHUB_OUTPUT"", ""GITHUB_STEP_SUMMARY""], ""repo_var_matches"": [], ""copilot_focus_vars"": []}","TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TSEC_GITHUB_TOKEN",,5,True,medium,write-capable and event-triggered; potential merge or stale-head conflict during main updates,"CODEX_SWEEP_SKIP_MAIN,CODEX_MAX_HEALER_RUNS_PER_HOUR,CODEX_HEALER_SKIP_SKIPCI","pull_request,workflow_dispatch,schedule,issues",True,False,True,False,True,True,ubuntu-latest,0,keep-enabled-active,observed-green,Observed runs in the last 7 days.
Cognitive Action & Decision (Unified),231490930,.github/workflows/cognitive-action-decision.yml,active,True,False,3,2026-05-15T12:56:01Z,3,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": [""1)"", ""action-only"", ""completed"", ""cycle"", ""decision-only"", ""full-cycle""]}",permissions: | contents: write | issues: write | pull-requests: write,True,"{""vars"": [], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY""], ""env_context"": [], ""shell_env"": [""DRY_RUN"", ""FORCE_ANALYSIS"", ""GITHUB_OUTPUT"", ""GITHUB_STEP_SUMMARY"", ""RISK_THRESHOLD"", ""TASK_FILE""], ""repo_var_matches"": [], ""copilot_focus_vars"": []}","TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY",,8,True,medium,write-capable and event-triggered; potential merge or stale-head conflict during main updates,"CODEX_SWEEP_SKIP_MAIN,CODEX_MAX_HEALER_RUNS_PER_HOUR,CODEX_HEALER_SKIP_SKIPCI","workflow_dispatch,schedule,workflow_run,issues",True,False,True,True,True,True,ubuntu-latest,2,keep-enabled-active,observed-green,Observed runs in the last 7 days.
Cognitive Analysis & Learning (Unified),231490931,.github/workflows/cognitive-analysis-feed.yml,active,True,False,4,2026-05-15T12:57:22Z,4,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: write | issues: write | pull-requests: write | actions: read,True,"{""vars"": [""CODEX_CACHE_VERSION""], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY""], ""env_context"": [], ""shell_env"": [""CB_BLOCK"", ""CB_PATTERNS"", ""DAYS_BACK"", ""EVALUATION_MODE"", ""GITHUB_OUTPUT"", ""GITHUB_STEP_SUMMARY""], ""repo_var_matches"": [], ""copilot_focus_vars"": [""CODEX_CACHE_VERSION""]}","TVAR_CODEX_CACHE_VERSION,TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY",CODEX_CACHE_VERSION,9,True,medium,write-capable and event-triggered; potential merge or stale-head conflict during main updates,"CODEX_SWEEP_SKIP_MAIN,CODEX_MAX_HEALER_RUNS_PER_HOUR,CODEX_HEALER_SKIP_SKIPCI","workflow_dispatch,schedule,workflow_run,issues",True,False,True,True,True,True,ubuntu-latest,2,keep-enabled-active,observed-green,Observed runs in the last 7 days.
